#,Kanji,Radical,# Strokes,Grade,Meaning,Readings
595,甲 ,田 ,5,S ,armor ,コウ、カン
601,江 ,水 ,6,S ,inlet ,コウ、え
604,坑 ,土 ,7,S ,pit ,コウ
606,抗 ,手 ,7,S ,confront ,コウ
607,攻 ,攴 ,7,S ,aggression ,コウ、せ-める
608,更 ,曰 ,7,S ,grow late ,コウ、さら、ふ-ける、ふ-かす
611,拘 ,手 ,8,S ,arrest ,コウ
612,肯 ,肉 ,8,S ,agreement ,コウ
613,侯 ,人 ,9,S ,marquis ,コウ
615,恒 ,心 ,9,S ,constancy ,コウ
616,洪 ,水 ,9,S ,deluge ,コウ
619,荒 ,艸 ,9,S ,laid waste ,コウ、あら-い、あ-れる、あ-らす
620,郊 ,邑 ,9,S ,outskirts ,コウ
621,香 ,香 ,9,S ,incense ,コウ、（キョウ）、か、かお-り、かお-る
626,貢 ,貝 ,10,S ,tribute ,コウ、（ク）、みつ-ぐ
630,控 ,手 ,11,S ,withdraw ,コウ、ひか-える
631,梗 ,木 ,11,S ,close up ,コウ
633,喉 ,口 ,12,S ,throat ,コウ、のど
634,慌 ,心 ,12,S ,disconcerted ,コウ、あわ-てる、あわ-ただしい
636,硬 ,石 ,12,S ,stiff ,コウ、かた-い
637,絞 ,糸 ,12,S ,strangle ,コウ、しぼ-る、し-める、し-まる
638,項 ,頁 ,12,S ,paragraph ,コウ
639,溝 ,水 ,13,S ,gutter ,コウ、みぞ
642,綱 ,糸 ,14,S ,hawser ,コウ、つな
643,酵 ,酉 ,14,S ,fermentation ,コウ
644,稿 ,禾 ,15,S ,draft ,コウ
646,衡 ,行 ,16,S ,equilibrium ,コウ
649,購 ,貝 ,17,S ,subscription ,コウ
650,乞 ,乙 ,3,S ,beg ,こ-う
653,拷 ,手 ,9,S ,torture ,ゴウ
654,剛 ,刀 ,10,S ,sturdy ,ゴウ
655,傲 ,人 ,13,S ,be proud ,ゴウ
656,豪 ,豕 ,14,S ,overpowering ,ゴウ
657,克 ,儿 ,7,S ,overcome ,コク
664,酷 ,酉 ,14,S ,cruel ,コク
665,獄 ,犬 ,14,S ,prison ,ゴク
667,駒 ,馬 ,15,S ,horse ,こま
668,込 ,辵 ,5,S ,crowded ,こ-む、こ-める
669,頃 ,頁 ,11,S ,times ,ころ
672,昆 ,日 ,8,S ,descendants ,コン
673,恨 ,心 ,9,S ,rancor ,コン、うら-む、うら-めしい
675,婚 ,女 ,11,S ,marriage ,コン
677,痕 ,疒 ,11,S ,mark ,コン、あと
678,紺 ,糸 ,11,S ,dark blue ,コン
679,魂 ,鬼 ,14,S ,soul ,コン、たましい
680,墾 ,土 ,16,S ,ground-breaking ,コン
681,懇 ,心 ,17,S ,sociable ,コン、ねんご-ろ
683,佐 ,人 ,7,S ,help ,サ
684,沙 ,水 ,7,S ,sand ,サ
687,唆 ,口 ,10,S ,tempt ,サ、そそのか-す
689,詐 ,言 ,12,S ,lie ,サ
690,鎖 ,金 ,18,S ,chain ,サ、くさり
692,挫 ,手 ,10,S ,sprain ,ザ
697,采 ,釆 ,8,S ,form ,サイ
698,砕 ,石 ,9,S ,smash ,サイ、くだ-く、くだ-ける
699,宰 ,宀 ,10,S ,superintend ,サイ
700,栽 ,木 ,10,S ,plantation ,サイ
701,彩 ,彡 ,11,S ,coloring ,サイ、いろど-る
705,斎 ,齊 ,11,S ,purification ,サイ
710,債 ,人 ,13,S ,bond ,サイ
711,催 ,人 ,13,S ,sponsor ,サイ、もよお-す
712,塞 ,土 ,13,S ,obstruct ,サイ、ソク、ふさ-ぐ、ふさ-がる
713,歳 ,止 ,13,S ,year-end ,サイ、（セイ）
714,載 ,車 ,13,S ,ride ,サイ、の-せる、の-る
716,埼 ,土 ,11,S ,cape (geography) ,（さい）[6]
719,剤 ,刀 ,10,S ,dose ,ザイ
722,崎 ,山 ,11,S ,promontory ,さき
724,削 ,刀 ,9,S ,plane ,サク、けず-る
726,柵 ,木 ,9,S ,fence ,サク
727,索 ,糸 ,10,S ,cord ,サク
729,酢 ,酉 ,12,S ,vinegar ,サク、す
730,搾 ,手 ,13,S ,squeeze ,サク、しぼ-る
731,錯 ,金 ,16,S ,confused ,サク
732,咲 ,口 ,9,S ,blossom ,さ-く
736,刹 ,刀 ,8,S ,temple ,サツ、セツ
737,拶 ,手 ,9,S ,be imminent ,サツ
740,撮 ,手 ,15,S ,snapshot ,サツ、と-る
741,擦 ,手 ,17,S ,grate ,サツ、す-る、す-れる
747,桟 ,木 ,10,S ,scaffold ,サン
749,惨 ,心 ,11,S ,wretched ,サン、ザン、みじ-め
751,傘 ,人 ,12,S ,umbrella ,サン、かさ
757,斬 ,斤 ,11,S ,kill by slicing ,ザン、き-る
758,暫 ,日 ,15,S ,temporarily ,ザン
770,旨 ,日 ,6,S ,delicious ,シ、むね
774,伺 ,人 ,7,S ,pay respects ,シ、うかが-う
778,刺 ,刀 ,8,S ,thorn ,シ、さ-す、さ-さる
782,祉 ,示 ,8,S ,welfare ,シ
783,肢 ,肉 ,8,S ,limb ,シ
787,施 ,方 ,9,S ,carry out ,シ、セ、ほどこ-す
789,恣 ,心 ,10,S ,selfish ,シ
791,脂 ,肉 ,10,S ,fat ,シ、あぶら
793,紫 ,糸 ,12,S ,purple ,シ、むらさき
